"IRP1","IRP2","IRP3","IRP4","IRP5","IRP6","IRP7"
0.254128979377778,0.636357814121559,0.925325472661545,0.968679975595077,0.994839971319495,0.999999989161788,1
5.62784797326656e-07,0.0476129397606313,0.237858203013561,0.420544756023852,0.676670181981748,0.837486303511013,0.975890906354142
1.900619935265e-55,4.9276107258602e-05,0.00799579036566622,0.0592409020128337,0.123201972009449,0.367506347172839,0.778527567481068
0.214659882810917,0.678352153517235,0.934929187515169,0.966233818373137,0.994155429167096,0.999999999831988,1
0.00478616448105086,0.0643780701242897,0.206110815110161,0.413601397220296,0.703394904006889,0.873757385986853,0.944857605239732
1.900619935265e-55,5.41403493971687e-05,0.00861942670914176,0.0700019011116098,0.168547638302102,0.37186250308463,0.701949668475877
0.287288482179578,0.597287020773508,0.90288727367512,0.986751192179053,0.999999288387441,1,1
9.11828374513809e-07,0.0428702525480352,0.22683948485256,0.455734127930693,0.657154493147069,0.882738004989941,0.932551347637865
2.21186592017092e-12,0.00494993320786093,0.0209378722489566,0.0233675937564982,0.105667658290719,0.389076215996546,0.804571520382869
0.278298155671636,0.555410271698726,0.934626489194645,0.995516887870055,0.999981861681672,1,1
6.78562998846795e-08,0.0336164600134058,0.185689350318242,0.425593963862707,0.682491365651337,0.916730145555873,0.994044025599342
1.34871858669763e-14,0.00403055210419267,0.0204169365190494,0.0423691445461434,0.121727857336988,0.404074912927913,0.745734169878991
0.229410623142637,0.63174148357079,0.929183412926858,0.991202309150346,0.999999999093632,1,1
2.25922502356314e-05,0.0387672607961774,0.199677861341976,0.405885882975341,0.733507445799779,0.878607406995158,0.964151874058087
1.09354116034249e-11,0.00500186561484252,0.0238981289301204,0.0452303553635836,0.145684658621105,0.399250727229266,0.709344044424976
0.204698274814851,0.657550004275914,0.933931556120626,0.99118856274637,0.999999340332134,1,1
5.75595314263663e-07,0.0338778652482589,0.176610211046426,0.387236930946882,0.793186634092551,0.913141188997168,0.930519129270976
1.900619935265e-55,1.57842127866093e-09,0.00382330016139871,0.0369124730858204,0.13448753757725,0.423716271951189,0.752721870906212
0.220937013955374,0.665598865803777,0.934970505776159,0.969503315858369,0.99481164677042,0.999999999969499,1
1.35970445314051e-08,0.0286048489484336,0.163715047775529,0.420911362253113,0.750364043302327,0.905807713402596,0.96973460031711
1.900619935265e-55,2.67995484867245e-12,0.000875798446250452,0.0215224013257048,0.144447553801252,0.43733899860385,0.755128358402267
0.25942899716213,0.600539921280364,0.923332628634123,0.991190215460003,0.999999830856012,1,1
5.75586304556495e-07,0.033695016780382,0.178510565386824,0.386654032581154,0.70794156532148,0.950623546149795,0.999781849149721
1.900619935265e-55,5.41418034090484e-05,0.00824622158309876,0.0596925561277041,0.128014309174035,0.421122236180976,0.722810085605048
0.241873876010185,0.618847414218257,0.926718779576091,0.991187028697092,0.999999973060401,1,1
1.87130765470188e-07,0.0288679075077258,0.165794689586984,0.430275076665233,0.762168749817493,0.862774804852967,0.976927117388196
1.45031206787814e-14,0.00475954657589979,0.0316919444878672,0.10463297361421,0.197526571806419,0.343738368763856,0.59736241948096
0.279418506201033,0.610150943966859,0.920348986889213,0.968657000992111,0.994840097118022,0.999999989161788,1
9.41169210771488e-07,0.0430586101183225,0.223472555402827,0.440577360869257,0.69662901703102,0.838864602428965,0.950807139716986
1.900619935265e-55,2.60096068731721e-08,0.0088002892754406,0.0765492742462815,0.198776367482757,0.392131955751943,0.636495921643445
0.259278266676931,0.631159077323071,0.924254755937949,0.968630531469846,0.994833696253216,0.999999989161788,1
0.00481066753514309,0.0595207078319391,0.187959944414508,0.428542567909671,0.759696183509976,0.843957980352142,0.917114672959091
1.900619935265e-55,1.900619935265e-55,1.01029860974616e-10,0.0126156772750371,0.121623575098501,0.443933487040519,0.791656158634028
0.253294969763092,0.581518417628494,0.939364889356198,0.995566709280605,0.999999999334456,1,1
0.00499761531181658,0.055467801067929,0.162823816289957,0.385740267988944,0.722167825468074,0.929631124080458,0.994134410846247
1.900619935265e-55,2.44288364908847e-08,0.00469668607334156,0.0443906274809134,0.145780332582752,0.401239257721541,0.74693873595013
0.197253136247049,0.665143446108881,0.935488384476647,0.991197174277733,0.999993598380488,1,1
0.0047750842152946,0.0604105981174998,0.19106811291621,0.406863875911919,0.675915698418709,0.919483745955192,0.97710564893024
